car,model,price,year,mileage,location
Toyota Prius,v Two,15995,2014,48918,Baton Rouge
Toyota Prius,v Two,18999,2013,32254,Baton Rouge
Toyota Prius,none,22990,2016,11028,Baton Rouge
Toyota Prius,v Three,19078,2016,36141,Baton Rouge
Toyota Prius,v Four ,18900,2014,46781,Baton Rouge
Toyota Prius,none,17995,2015,44551,Baton Rouge
Toyota Prius,v One,17988,2015,24666,Baton Rouge
Toyota Prius,v Three,16998,2013,45596,Baton Rouge
Toyota Prius,v Two,16995,2015,49455,Baton Rouge
Toyota Prius,v Four,16500,2015,41300,Baton Rouge
Toyota Prius,none,16295,2015,49941,Baton Rouge
Toyota Prius,v Three,16031,2013,33294,Baton Rouge
Toyota Prius,v Two,15998,2014,35257,Baton Rouge
Toyota Prius,v Five,15995,2015,36588,Baton Rouge
Toyota Prius,v Three,15553,2015,69792,Baton Rouge
Toyota Prius,Persona,14990,2013,72246,Baton Rouge
Toyota Prius,v Two,14948,2015,65847,Baton Rouge
Toyota Prius,v Two,14749,2014,33848,Baton Rouge
Toyota Prius,none,14650,2011,41460,Baton Rouge
Toyota Prius,v Two,13998,2013,51809,Baton Rouge
Toyota Prius,Persona,13995,2013,78978,Baton Rouge
Toyota Prius,v Three,13500,2013,86607,Baton Rouge
Toyota Prius,v One,12995,2014,39812,Baton Rouge
Toyota Prius,none,12979,2013,87289,Baton Rouge
Toyota Prius,v Two,12295,2012,88515,Baton Rouge
Toyota Prius,v Two,12271,2013,78860,Baton Rouge
Toyota Prius,none,11988,2012,82135,Baton Rouge
Toyota Prius,v Two,11985,2012,88078,Baton Rouge
Toyota Prius,none,11902,2013,71381,Baton Rouge
Toyota Prius,none,11744,2013,76542,Baton Rouge
Toyota Prius,v Two,9499,2011,116304,Baton Rouge
Toyota Prius,v Two,8990,2012,115702,Baton Rouge
Toyota Prius,v Two,8799,2011,105984,Baton Rouge
Toyota Prius,v Two,8499,2011,90707,Baton Rouge
Toyota Prius,v Three,5977,2011,178656,Baton Rouge
Toyota Prius,v Four,22600,2015,38981,Boston
Toyota Prius,v Four,22000,2015,9483,Boston
Toyota Prius,v Five,21450,2014,18621,Boston
Toyota Prius,v Three,21290,2015,12271,Boston
Toyota Prius,v Two,20909,2016,7000,Boston
Toyota Prius,v Three,20900,2014,42918,Boston
Toyota Prius,v Four,20590,2014,12067,Boston
Toyota Prius,v Two,20580,2016,10443,Boston
Toyota Prius,v Two,20250,2016,9606,Boston
Toyota Prius,v Three,20000,2014,17113,Boston
Toyota Prius,v Three,19950,2015,15471,Boston
Toyota Prius,v Two,19900,2016,13809,Boston
Toyota Prius,v Two,19881,2016,22300,Boston
Toyota Prius,v Two,19500,2016,13684,Boston
Toyota Prius,v Two,19500,2016,10733,Boston
Toyota Prius,v Three,19490,2014,5672,Boston
Toyota Prius,v Four,19440,2014,7005,Boston
Toyota Prius,v Four,19000,2014,25468,Boston
Toyota Prius,v Three,19000,2015,25264,Boston
Toyota Prius,v Three,18950,2015,37419,Boston
Toyota Prius,v Three,18950,2015,35531,Boston
Toyota Prius,v Three,18790,2014,14509,Boston
Toyota Prius,v Two,18729,2016,12742,Boston
Toyota Prius,v Three,18591,2014,13155,Boston
Toyota Prius,v Two,17970,2016,10589,Boston
Toyota Prius,v Three,17798,2014,34954,Boston
Toyota Prius,v Two,17700,2015,28001,Boston
Toyota Prius,v Three,17698,2015,22945,Boston
Toyota Prius,v Three,17000,2014,32054,Boston
Toyota Prius,v Two,17000,2013,76843,Boston
Toyota Prius,v Three,16900,2014,30915,Boston
Toyota Prius,v Two,16867,2014,12466,Boston
Toyota Prius,v Four,16500,2013,29550,Boston
Toyota Prius,v Two,16490,2014,28926,Boston
Toyota Prius,v Three,16000,2014,44380,Boston
Toyota Prius,v Three,15994,2015,43905,Boston
Toyota Prius,v Two,15975,2013,24932,Boston
Toyota Prius,v Two,15900,2013,31701,Boston
Toyota Prius,v Three,15900,2015,20090,Boston
Toyota Prius,v Four,15900,2013,39265,Boston
Toyota Prius,One,18091,2015,22684,Buffalo
Toyota Prius,One,17261,2015,23261,Buffalo
Toyota Prius,One,15950,2013,46870,Buffalo
Toyota Prius,Two,14955,2014,55797,Buffalo
Toyota Prius,One,14850,2014,46352,Buffalo
Toyota Prius,Two,13700,2015,34260,Buffalo
Toyota Prius,One,12980,2013,65876,Buffalo
Toyota Prius,One,11995,2014,63496,Buffalo
Toyota Prius,One,10910,2011,110443,Buffalo
Toyota Prius,Three,10236,2010,78074,Buffalo
Toyota Prius,One,9499,2011,67178,Buffalo
Toyota Prius,Base,8999,2010,68683,Buffalo
Toyota Prius,One,8995,2010,92888,Buffalo
Toyota Prius,Three,8975,2010,73360,Buffalo
Toyota Prius,Touring,6800,2007,105529,Buffalo
Toyota Prius,One,6778,2007,78887,Buffalo
Toyota Prius,Four,31995,2017,2423,Buffalo
