car,model,price,year,mileage,location
Toyota Prius,Five ,17777,2014,38104,Phoenix 
Toyota Prius,Two ,16995,2014,22387,Phoenix 
Toyota Prius,Four,16891,2013,26434,Phoenix 
Toyota Prius,Two ,16889,2015,41082,Phoenix 
Toyota Prius,Two ,16599,2015,31441,Phoenix 
Toyota Prius,Two ,16599,2014,46699,Phoenix 
Toyota Prius,Two ,16311,2013,40679,Phoenix 
Toyota Prius,Five ,15999,2013,33937,Phoenix 
Toyota Prius,Two,15995,2014,30897,Phoenix 
Toyota Prius,Five ,15995,2010,31809,Phoenix 
Toyota Prius,Two ,15573,2015,37574,Phoenix 
Toyota Prius,Four,15500,2013,32246,Phoenix 
Toyota Prius,Two ,15473,2015,39200,Phoenix 
Toyota Prius,Two ,15373,2015,40117,Phoenix 
Toyota Prius,Two ,15373,2015,40358,Phoenix 
Toyota Prius,Two ,15173,2015,45236,Phoenix 
Toyota Prius,Two ,14995,2013,67330,Phoenix 
Toyota Prius,Four ,14993,2013,52911,Phoenix 
Toyota Prius,Four ,14987,2011,46448,Phoenix 
Toyota Prius,Two,14550,2014,37553,Phoenix 
Toyota Prius,Two ,14392,2012,27960,Phoenix 
Toyota Prius,Two ,14311,2012,42698,Phoenix 
Toyota Prius,Three ,13995,2013,66791,Phoenix 
Toyota Prius,Three ,13995,2012,75000,Phoenix 
Toyota Prius,Three ,13995,2012,51278,Phoenix 
Toyota Prius,v Five,25500,2016,13320,Portland 
Toyota Prius,v Two,14995,2014,51618,Portland 
Toyota Prius,v Five,19988,2012,60530,Portland 
Toyota Prius,v Three,19688,2015,11672,Portland 
Toyota Prius,v Five,21950,2015,14519,Portland 
Toyota Prius,v Four,21985,2015,12384,Portland 
Toyota Prius,v Four,19622,2014,9079,Portland 
Toyota Prius,v Two,17998,2014,37658,Portland 
Toyota Prius,v Two,19857,2015,13085,Portland 
Toyota Prius,v Two,16983,2015,42129,Portland 
Toyota Prius,v Two,18991,2014,29461,Portland 
Toyota Prius,v Three,17381,2013,26129,Portland 
Toyota Prius,v Five,14991,2012,84162,Portland 
Toyota Prius,v Three,17895,2015,28506,Portland 
Toyota Prius,v Four,22678,2015,31063,Portland 
Toyota Prius,c,15991,2014,24293,Portland 
Toyota Prius,v Five,21149,2014,16895,Portland 
Toyota Prius,c,16491,2016,14423,Portland 
Toyota Prius,v Three,18688,2014,22307,Portland 
Toyota Prius,v Two,18891,2015,11330,Portland 
Toyota Prius,c,15895,2014,4148,Portland 
Toyota Prius,v Three,21988,2014,23991,Portland 
Toyota Prius,v Two,16350,2013,37065,Portland 
Toyota Prius,v Three,19788,2015,10400,Portland 
Toyota Prius,v Two,14988,2013,67777,Portland 
Toyota Prius,v Two,16888,2013,27464,Portland 
Toyota Prius,v Three,22991,2014,23670,Portland 
Toyota Prius,v Three,18288,2013,35721,Portland 
Toyota Prius,c,14988,2014,13548,Portland 
Toyota Prius,v Three,17288,2013,27527,Portland 
Toyota Prius,v Two,16431,2014,51455,Portland 
Toyota Prius,v Two,17991,2013,28354,Portland 
Toyota Prius,c,14991,2013,28057,Portland 
Toyota Prius,v Four,22450,2014,33618,Portland 
Toyota Prius,v Two,15991,2013,27567,Portland 
Toyota Prius,v Two,18891,2015,7072,Portland 
Toyota Prius,c,17888,2015,10584,Portland 
Toyota Prius,c,15491,2014,18282,Portland 
Toyota Prius,v Two,17888,2015,10800,Portland 
Toyota Prius,v Four,19788,2014,43485,Portland 
Toyota Prius,Four,20884,2014,25234,Richmond
Toyota Prius,Three,19350,2015,28744,Richmond
Toyota Prius,Three,16990,2014,31358,Richmond
Toyota Prius,Three,16961,2013,28865,Richmond
Toyota Prius,Two,16661,2015,48868,Richmond
Toyota Prius,Two,15198,2015,66708,Richmond
Toyota Prius,none,15087,2013,51384,Richmond
Toyota Prius,Two,14943,2015,53560,Richmond
Toyota Prius,Two,13900,2015,36852,Richmond
Toyota Prius,Two,12998,2012,62660,Richmond
Toyota Prius,Three,12800,2013,83445,Richmond
Toyota Prius,Two,12750,2012,49357,Richmond
Toyota Prius,Two,12305,2013,67255,Richmond
Toyota Prius,none,11550,2013,75088,Richmond
Toyota Prius,Four,20903,2015,15776,Richmond
Toyota Prius,Four,20884,2014,25234,Richmond
Toyota Prius,Four,20704,2015,9029,Richmond
Toyota Prius,Four,20599,2013,14481,Richmond
Toyota Prius,Five,20090,2015,28554,Richmond
Toyota Prius,Four,19810,2014,25729,Richmond
Toyota Prius,Two Eco,19804,2016,12209,Richmond
Toyota Prius,Two Eco,19800,2016,12400,Richmond
Toyota Prius,none,19497,2015,36136,Richmond
Toyota Prius,Two Eco,19495,2016,17178,Richmond
Toyota Prius,Three,19350,2015,28744,Richmond
Toyota Prius,Two,19079,2016,4347,Richmond
Toyota Prius,Four,19000,2014,17955,Richmond
Toyota Prius,Two,18888,2016,12039,Richmond
Toyota Prius,Three,18704,2015,24496,Richmond
Toyota Prius,Two,18500,2016,13000,Richmond
Toyota Prius,Four,18499,2015,35750,Richmond
Toyota Prius,Three,18000,2013,22375,Richmond
Toyota Prius,Three,18000,2014,34051,Richmond
Toyota Prius,Two,17998,2014,15479,Richmond
Toyota Prius,Four,17990,2015,21439,Richmond
Toyota Prius,none,17950,2015,30199,Richmond
Toyota Prius,One,17900,2015,12125,Richmond
Toyota Prius,Two,17899,2014,15479,Richmond
Toyota Prius,Four,17800,2014,23163,Richmond
Toyota Prius,Two,17504,2015,13120,Richmond
Toyota Prius,Three,23895,2016,3101,Salt Lake City
Toyota Prius,Three,20000,2016,766,Salt Lake City
Toyota Prius,Two,19495,2016,11874,Salt Lake City
Toyota Prius,Two,19595,2016,11874,Salt Lake City
Toyota Prius,Four,19106,2015,18922,Salt Lake City
Toyota Prius,Two,17900,2016,22533,Salt Lake City
Toyota Prius,Two,17500,2016,40599,Salt Lake City
Toyota Prius,Three,17233,2014,19956,Salt Lake City
Toyota Prius,Three,16675,2015,23318,Salt Lake City
Toyota Prius,Four,16400,2015,39581,Salt Lake City
Toyota Prius,Two,16400,2015,47536,Salt Lake City
Toyota Prius,Two,16184,2015,43091,Salt Lake City
Toyota Prius,Two,15990,2015,39544,Salt Lake City
Toyota Prius,Four,15990,2015,48051,Salt Lake City
Toyota Prius,Four,15975,2015,48576,Salt Lake City
Toyota Prius,Four,15675,2013,35242,Salt Lake City
Toyota Prius,Two,15152,2015,49307,Salt Lake City
Toyota Prius,Three,14990,2013,41803,Salt Lake City
Toyota Prius,Three,14595,2015,36786,Salt Lake City
Toyota Prius,Three,14595,2015,39497,Salt Lake City
Toyota Prius,Three,14594,2015,38120,Salt Lake City
Toyota Prius,Two,14275,2014,28033,Salt Lake City
Toyota Prius,Two,13998,2011,41328,Salt Lake City
Toyota Prius,Three,13995,2015,39483,Salt Lake City
Toyota Prius,Two,13995,2015,39549,Salt Lake City
Toyota Prius,Two,13995,2015,40233,Salt Lake City
Toyota Prius,Two,13995,2015,40273,Salt Lake City
Toyota Prius,Two,13995,2015,42223,Salt Lake City
Toyota Prius,Two,13595,2015,43177,Salt Lake City
Toyota Prius,Two,12998,2011,46053,Salt Lake City
Toyota Prius,Four,11990,2011,87783,Salt Lake City
Toyota Prius,Two,10571,2011,81939,Salt Lake City
Toyota Prius,Two,8995,2012,164645,Salt Lake City
Toyata Prius,Four,27000,2016,7068,San Diego
Toyata Prius,Four,26500,2016,8169,San Diego
Toyata Prius,Two ,24500,2017,4039,San Diego
Toyata Prius,Four,20995,2014,30394,San Diego
Toyata Prius,Two ,20587,2016,6121,San Diego
Toyata Prius,Four,20500,2014,23617,San Diego
Toyata Prius,Four,20500,2014,48839,San Diego
Toyata Prius,Four,20000,2015,9905,San Diego
Toyata Prius,Four,20000,2014,47050,San Diego
Toyata Prius,Two ,19999,2016,13336,San Diego
Toyata Prius,One,19986,2014,17356,San Diego
Toyata Prius,Persona Series,19800,2015,29908,San Diego
Toyata Prius,Four,19599,2014,30775,San Diego
Toyata Prius,Three,19490,2014,41099,San Diego
Toyata Prius,Two ,19490,2015,41675,San Diego
Toyata Prius,Three,19425,2013,33369,San Diego
Toyata Prius,Five,19000,2015,9905,San Diego
Toyata Prius,Three,18801,2013,31830,San Diego
Toyata Prius,Four,18500,2015,38503,San Diego
Toyata Prius,Three,18400,2014,35000,San Diego
Toyata Prius,Four,18050,2013,15447,San Diego
Toyata Prius,Two ,18000,2015,14911,San Diego
Toyata Prius,One,17996,2014,36234,San Diego
Toyata Prius,Two ,17986,2015,34067,San Diego
Toyata Prius,Two ,17986,2015,34067,San Diego
Toyata Prius,Two ,17985,2014,23093,San Diego
Toyata Prius,Three,17886,2014,48355,San Diego
Toyata Prius,Three,17550,2014,30422,San Diego
Toyata Prius,Two ,17241,2012,37681,San Diego
Toyata Prius,Four,17000,2014,42878,San Diego
Toyata Prius,Three,17000,2014,44801,San Diego
Toyata Prius,Two ,16998,2015,21960,San Diego
Toyata Prius,One,16975,2013,34812,San Diego
Toyata Prius,One,16789,2014,37052,San Diego
Toyata Prius,Two ,16500,2015,52572,San Diego
Toyata Prius,Two ,16500,2014,18923,San Diego
Toyata Prius,Two ,16050,2014,58706,San Diego
Toyata Prius,One,16000,2014,44048,San Diego
Toyata Prius,One,15999,2013,34407,San Diego
Toyata Prius,Three,15995,2015,15995,San Diego
Toyota Prius,Four,28988,2016,6553,San Francisco
Toyota Prius,Two,24990,2016,6559,San Francisco
Toyota Prius,Three,24899,2016,1437,San Francisco
Toyota Prius,Two,24200,2013,49933,San Francisco
Toyota Prius,Three,23991,2016,9591,San Francisco
Toyota Prius,Three,23991,2016,10922,San Francisco
Toyota Prius,Three,23599,2016,12358,San Francisco
Toyota Prius,Two,23200,2016,7646,San Francisco
Toyota Prius,Two,22900,2016,782,San Francisco
Toyota Prius,Three,22794,2016,6339,San Francisco
Toyota Prius,Three,21991,2015,21507,San Francisco
Toyota Prius,Four,21991,2014,34287,San Francisco
Toyota Prius,Three,21986,2016,9829,San Francisco
Toyota Prius,Three,21599,2015,14875,San Francisco
Toyota Prius,Two,21500,2016,19450,San Francisco
Toyota Prius,Four,20991,2013,16564,San Francisco
Toyota Prius,Four,20991,2014,31734,San Francisco
Toyota Prius,Four,20991,2014,35615,San Francisco
Toyota Prius,Four,20990,2014,31689,San Francisco
Toyota Prius,Three,20888,2015,20300,San Francisco
Toyota Prius,Four,20650,2014,51155,San Francisco
Toyota Prius,Four,20599,2014,42809,San Francisco
Toyota Prius,Four,20481,2014,18608,San Francisco
Toyota Prius,Four,20461,2014,27246,San Francisco
Toyota Prius,Four,19991,2014,37359,San Francisco
Toyota Prius,Persona,19990,2015,27739,San Francisco
Toyota Prius,Three,19990,2014,28043,San Francisco
Toyota Prius,Four,19990,2014,23911,San Francisco
Toyota Prius,Three,19988,2015,19190,San Francisco
Toyota Prius,Four,19988,2014,33994,San Francisco
Toyota Prius,Four,19986,2014,36367,San Francisco
Toyota Prius,Two,19500,2016,6200,San Francisco
Toyota Prius,Two,18991,2015,27162,San Francisco
Toyota Prius,Five,18991,2014,43191,San Francisco
Toyota Prius,Four,18982,2014,29120,San Francisco
Toyota Prius,Four,18981,2014,23604,San Francisco
Toyota Prius,Four,18950,2013,36988,San Francisco
Toyota Prius,Persona,18888,2015,44212,San Francisco
Toyota Prius,Two,18882,2015,23004,San Francisco
Toyota Prius,iv,"29,093",2016,4674.00,Seattle
Toyota Prius,iv,"28,995",2016,9072.00,Seattle
Toyota Prius,iii,"27,000",2016,4752.00,Seattle
Toyota Prius,iv,"28,901",2016,8776.00,Seattle
Toyota Prius,iv,"25,998",2016,22660.00,Seattle
Toyota Prius,iii,"27,995",2016,7443.00,Seattle
Toyota Prius,Base,"24,950",2016,7410.00,Seattle
Toyota Prius,iv,"24,885",2015,2296.00,Seattle
Toyota Prius,iii,"23,837",2016,9332.00,Seattle
Toyota Prius,iii,"22,885",2015,3850.00,Seattle
Toyota Prius,iv,"22,697",2014,24288.00,Seattle
Toyota Prius,ii,"21,995",2016,19266.00,Seattle
Toyota Prius,iv,"21,995",2013,27161.00,Seattle
Toyota Prius,v,"21,995",2015,23991.00,Seattle
Toyota Prius,ii,"21,995",2016,8735.00,Seattle
Toyota Prius,ii,"21,744",2016,9351.00,Seattle
Toyota Prius,Base,"20,995",2015,29312.00,Seattle
Toyota Prius,ii,"20,992",2016,24458.00,Seattle
Toyota Prius,iii,"20,981",2015,36088.00,Seattle
Toyota Prius,ii,"20,885",2016,11340.00,Seattle
Toyota Prius,ii,"20,495",2016,17681.00,Seattle
Toyota Prius,ii,"19,999",2016,11642.00,Seattle
Toyota Prius,Base,"19,997",2014,14178.00,Seattle
Toyota Prius,iii,"19,995",2013,27196.00,Seattle
Toyota Prius,ii,"19,995",2014,25272.00,Seattle
Toyota Prius,ii,"19,995",2013,35964.00,Seattle
Toyota Prius,iv,"19,816",2014,48356.00,Seattle
Toyota Prius,iv,"19,552",2014,38645.00,Seattle
Toyota Prius,i,"18,999",2015,26800.00,Seattle
Toyota Prius,ii,"18,995",2014,53249.00,Seattle
Toyota Prius,ii,"18,995",2014,31608.00,Seattle
Toyota Prius,iv,"18,995",2013,38883.00,Seattle
Toyota Prius,iii,"18,995",2013,83626.00,Seattle
Toyota Prius,iii,"18,981",2013,32030.00,Seattle
Toyota Prius,ii,"18,981",2015,58555.00,Seattle
Toyota Prius,ii,"18,981",2015,39575.00,Seattle
Toyota Prius,iv,"18,881",2014,77064.00,Seattle
Toyota Prius,ii,"18,250",2015,29486.00,Seattle
Toyota Prius,iii,"17,998",2015,20685.00,Seattle
Toyota Prius,Five,18391,2014,39174,Tampa
Toyota Prius,Two,17656,2014,11404,Tampa
Toyota Prius,Three,17491,2015,27248,Tampa
Toyota Prius,Three,16998,2014,27866,Tampa
Toyota Prius,Four,16981,2013,36869,Tampa
Toyota Prius,Two,16955,2015,21040,Tampa
Toyota Prius,Two,16878,2015,39798,Tampa
Toyota Prius,Two,16792,2015,39179,Tampa
Toyota Prius,Five,16299,2014,14275,Tampa
Toyota Prius,Two,15699,2014,44767,Tampa
Toyota Prius,One,15667,2014,33661,Tampa
Toyota Prius,One,15498,2014,46003,Tampa
Toyota Prius,Four,14991,2012,45134,Tampa
Toyota Prius,Three,14991,2013,53318,Tampa
Toyota Prius,Three,14940,2013,19945,Tampa
Toyota Prius,Three,14900,2013,43649,Tampa
Toyota Prius,Two,14500,2013,33969,Tampa
Toyota Prius,Two,13952,2013,48592,Tampa
Toyota Prius,Two,13000,2013,43350,Tampa
Toyota Prius,Two,12999,2015,42171,Tampa
Toyota Prius,Four,12981,2013,44212,Tampa
Toyota Prius,Two,12950,2014,57968,Tampa
Toyota Prius,Five,18391,2014,39174,Tampa
Toyota Prius,Five,12036,2012,76915,Tampa
Toyota Prius,Two,11999,2014,37834,Tampa
Toyota Prius,Two,17656,2014,11404,Tampa
Toyota Prius,Three,17491,2015,27248,Tampa
Toyota Prius,Two,11991,2013,71246,Tampa
Toyota Prius,Two,11795,2013,81896,Tampa
Toyota Prius,Four,11300,2015,13000,Tampa
Toyota Prius,Three,16998,2014,27866,Tampa
Toyota Prius,Two,10992,2013,81991,Tampa
Toyota Prius,Three,10950,2011,61800,Tampa
Toyota Prius,Four,16981,2013,36869,Tampa
Toyota Prius,Two,9994,2011,60947,Tampa
Toyota Prius,Two,9994,2011,60972,Tampa
Toyota Prius,Five,18391,2014,39174,Tampa
Toyota Prius,Two,17656,2014,11404,Tampa
Toyota Prius,Three,17491,2015,27248,Tampa
Toyota Prius,Two,9577,2013,81238,Tampa
